Number,Group,Shortened_name,WRB_group,count,web_text,GeoTIFF_name,Desc_2nd_level,Alt_Description_merge,R,G,B,Image_name,Image_source_updated,Image_source_old,legend
11,Haplic Alisols,Haplic.Alisols,Alisols,836,Haplic (undetermined) Alisols,TAXNWRB_Haplic.Alisols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,Alisols = Soils of wet (sub-)tropical regions with high cation exchange capacity and much exchangeable aluminium. Other diagnostic horizons might occur but have not been recorded.,245,235,204,Alisol_Cn22p.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"11,245,235,204,255,Haplic Alisols"
12,Aluandic Andosols,Aluandic.Andosols,Andosols,346,Aluandic Andosols,TAXNWRB_Aluandic.Andosols_250m_ll.tif,"Having one or more layers, cumulatively 30 m or more thick, with andic properties.","Andosols = Soil developed from volcanic material, are young immature soils, characteristics depend on type of volcanic material. Having one or more layers, cumulatively 30 m or more thick, with andic properties.",252,107,93,Humic_Andosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"12,252,107,93,255,Aluandic Andosols"
13,Haplic Andosols,Haplic.Andosols,Andosols,69,Haplic (undetermined) Andosols,TAXNWRB_Haplic.Andosols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,"Andosols = Soil developed from volcanic material, are young immature soils, characteristics depend on type of volcanic material. Other diagnostic horizons might occur but have not been recorded.",245,231,202,Humic_Andosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"13,245,231,202,255,Haplic Andosols"
14,Vitric Andosols,Vitric.Andosols,Andosols,172,Vitric Andosols,TAXNWRB_Vitric.Andosols_250m_ll.tif,"Vitric properties (from Latin vitrum, glass) apply to layers with volcanic glass and other primary minerals derived from volcanic ejecta and which contain a limited amount of short-range-order minerals.","Andosols = Soil developed from volcanic material, are young immature soils, characteristics depend on type of volcanic material. Vitric properties (from Latin vitrum, glass) apply to layers with volcanic glass and other primary minerals derived from volcanic ejecta and which contain a limited amount of short-range-order minerals.",252,85,70,Vitric_Andosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"14,252,85,70,255,Vitric Andosols"
15,Albic Arenosols,Albic.Arenosols,Arenosols,56,Albic Arenosols,TAXNWRB_Albic.Arenosols_250m_ll.tif,Having an albic horizon (a light-coloured subsurface horizon from which clay and free iron oxides have been removed) starting within 100 cm of the soil surface.,"Arenosols = Sandy soils of desert areas, beach ridges, inland dunes, areas with highly weathered sandstone, etc. showing little or no profile development. Having an albic horizon (a light-coloured subsurface horizon from which clay and free iron oxides have been removed) starting within 100 cm of the soil surface.",255,232,190,Albic_Arenosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"15,255,232,190,255,Albic Arenosols"
16,Ferralic Arenosols,Ferralic.Arenosols,Arenosols,924,Ferralic Arenosols,TAXNWRB_Ferralic.Arenosols_250m_ll.tif,"Having a ferralic horizon starting within 200 cm of the soil surface (in Anthrosols only), or ferralic properties in at least some layer starting within 100 cm of the soil surface (in other soils)","Arenosols = Sandy soils of desert areas, beach ridges, inland dunes, areas with highly weathered sandstone, etc. showing little or no profile development. Having a ferralic horizon starting within 200 cm of the soil surface (in Anthrosols only), or ferralic properties in at least some layer starting within 100 cm of the soil surface (in other soils)",254,231,192,Ferralic_Arenosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"16,254,231,192,255,Ferralic Arenosols"
17,Haplic Arenosols,Haplic.Arenosols,Arenosols,950,Haplic (undetermined) Arenosols,TAXNWRB_Haplic.Arenosols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,"Arenosols = Sandy soils of desert areas, beach ridges, inland dunes, areas with highly weathered sandstone, etc. showing little or no profile development. Other diagnostic horizons might occur but have not been recorded.",254,227,192,Cambic_Arenosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"17,254,227,192,255,Haplic Arenosols"
18,Haplic Arenosols (Calcaric),Haplic.Arenosols..Calcaric.,Arenosols,99,Haplic (undetermined) Arenosols (Calcaric),TAXNWRB_Haplic.Arenosols..Calcaric._250m_ll.tif,"Having calcaric material between 20 and 50 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, whichever is shallower. Other diagnostic horizons might occur but have not been recorded.","Arenosols = Sandy soils of desert areas, beach ridges, inland dunes, areas with highly weathered sandstone, etc. showing little or no profile development. Having calcaric material between 20 and 50 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, whichever is shallower. Other diagnostic horizons might occur but have not been recorded.",254,228,177,Cambic_Arenosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"18,254,228,177,255,Haplic Arenosols (Calcaric)"
19,Hypoluvic Arenosols,Hypoluvic.Arenosols,Arenosols,205,Hypoluvic Arenosols,TAXNWRB_Hypoluvic.Arenosols_250m_ll.tif,Having an absolute clay increase of 3 percent or more within 100 cm of the soil surface (in Arenosols only).,"Arenosols = Sandy soils of desert areas, beach ridges, inland dunes, areas with highly weathered sandstone, etc. showing little or no profile development. Having an absolute clay increase of 3 percent or more within 100 cm of the soil surface (in Arenosols only).",254,238,192,Luvic_Arenosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"19,254,238,192,255,Hypoluvic Arenosols"
20,Protic Arenosols,Protic.Arenosols,Arenosols,323,Protic Arenosols,TAXNWRB_Protic.Arenosols_250m_ll.tif,Showing no soil horizon development (in Arenosols only).,"Arenosols = Sandy soils of desert areas, beach ridges, inland dunes, areas with highly weathered sandstone, etc. showing little or no profile development. Showing no soil horizon development (in Arenosols only).",254,243,192,Cambic_Arenosol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"20,254,243,192,255,Protic Arenosols"
21,Haplic Calcisols,Haplic.Calcisols,Calcisols,1749,Haplic (undetermined) Calcisols,TAXNWRB_Haplic.Calcisols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,Calcisols = Soils of (semi-)arid regions with enrichment of secondary carbonates. Other diagnostic horizons might occur but have not been recorded.,255,239,81,Calcisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"21,255,239,81,255,Haplic Calcisols"
22,Haplic Calcisols (Sodic),Haplic.Calcisols..Sodic.,Calcisols,117,Haplic (undetermined) Calcisols (Sodic),TAXNWRB_Haplic.Calcisols..Sodic._250m_ll.tif,Having 15 percent or more exchangeable Na plus Mg on the exchange complex within 50 cm of the soil surface throughout. Other diagnostic horizons might occur but have not been recorded.,Calcisols = Soils of (semi-)arid regions with enrichment of secondary carbonates. Having 15 percent or more exchangeable Na plus Mg on the exchange complex within 50 cm of the soil surface throughout. Other diagnostic horizons might occur but have not been recorded.,248,231,41,Calcisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"22,248,231,41,255,Haplic Calcisols (Sodic)"
23,Luvic Calcisols,Luvic.Calcisols,Calcisols,324,Luvic Calcisols,TAXNWRB_Luvic.Calcisols_250m_ll.tif,"Having an argic horizon that has a CEC of 24 cmolc kg-1 clay or more throughout or to a depth of 50 cm below its upper limit, whichever is shallower, either starting within 100 cm of the soil surface or within 200 cm of the soil surface if the argic horizon is overlain by loamy sand or coarser textures throughout, and a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 50 and 100 cm from the soil surface.","Calcisols = Soils of (semi-)arid regions with enrichment of secondary carbonates. Having an argic horizon that has a CEC of 24 cmolc kg-1 clay or more throughout or to a depth of 50 cm below its upper limit, whichever is shallower, either starting within 100 cm of the soil surface or within 200 cm of the soil surface if the argic horizon is overlain by loamy sand or coarser textures throughout, and a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 50 and 100 cm from the soil surface.",255,252,43,Calcisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"23,255,252,43,255,Luvic Calcisols"
24,Petric Calcisols,Petric.Calcisols,Calcisols,682,Petric Calcisols,TAXNWRB_Petric.Calcisols_250m_ll.tif,Having a strongly cemented or indurated layer starting within 100 cm of the soil surface.,Calcisols = Soils of (semi-)arid regions with enrichment of secondary carbonates. Having a strongly cemented or indurated layer starting within 100 cm of the soil surface.,255,238,43,Calcisol.jpg,Soil taxonomy folder (massive storage),Soil taxonomy folder (massive storage),"24,255,238,43,255,Petric Calcisols"
25,Endogleyic Cambisols,Endogleyic.Cambisols,Cambisols,250,Endogleyic Cambisols,TAXNWRB_Endogleyic.Cambisols_250m_ll.tif,"Having between 50 and 100 cm of the mineral soil surface in some parts reducing conditions and in 25 percent or more of the soil volume a gleyic colour pattern.
","Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having between 50 and 100 cm of the mineral soil surface in some parts reducing conditions and in 25 percent or more of the soil volume a gleyic colour pattern.
",253,206,112,Gleyic_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"25,253,206,112,255,Endogleyic Cambisols"
26,Ferralic Cambisols,Ferralic.Cambisols,Cambisols,311,Ferralic Cambisols,TAXNWRB_Ferralic.Cambisols_250m_ll.tif,"Having a ferralic horizon starting within 200 cm of the soil surface (in Anthrosols only), or ferralic properties in at least some layer starting within 100 cm of the soil surface (in other soils)","Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having a ferralic horizon starting within 200 cm of the soil surface (in Anthrosols only), or ferralic properties in at least some layer starting within 100 cm of the soil surface (in other soils)",237,198,105,Ferralic_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"26,237,198,105,255,Ferralic Cambisols"
27,Haplic Cambisols,Haplic.Cambisols,Cambisols,5720,Haplic (undetermined) Cambisols,TAXNWRB_Haplic.Cambisols_250m_ll.tif,Other diagnostic horizons might occur but have not been recorded.,"Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Other diagnostic horizons might occur but have not been recorded.",253,226,96,Eutric_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"27,253,226,96,255,Haplic Cambisols"
28,Haplic Cambisols (Calcaric),Haplic.Cambisols..Calcaric.,Cambisols,1183,Haplic (undetermined) Cambisols (Calcaric),TAXNWRB_Haplic.Cambisols..Calcaric._250m_ll.tif,"Having calcaric material between 20 and 50 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, whichever is shallower. Other diagnostic horizons might occur but have not been recorded.","Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having calcaric material between 20 and 50 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, whichever is shallower. Other diagnostic horizons might occur but have not been recorded.",253,231,112,Calcic_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"28,253,231,112,255,Haplic Cambisols (Calcaric)"
29,Haplic Cambisols (Chromic),Haplic.Cambisols..Chromic.,Cambisols,247,Haplic (undetermined) Cambisols (Chromic),TAXNWRB_Haplic.Cambisols..Chromic._250m_ll.tif,"Having within 150 cm of the soil surface a subsurface layer, 30 cm or more thick, that has a Munsell hue redder than 7.5 YR or that has both, a hue of 7.5 YR and a chroma, moist, of more than 4. Other diagnostic horizons might occur but have not been recorded.","Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having within 150 cm of the soil surface a subsurface layer, 30 cm or more thick, that has a Munsell hue redder than 7.5 YR or that has both, a hue of 7.5 YR and a chroma, moist, of more than 4. Other diagnostic horizons might occur but have not been recorded.",253,247,112,Chromic_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"29,253,247,112,255,Haplic Cambisols (Chromic)"
30,Haplic Cambisols (Dystric),Haplic.Cambisols..Dystric.,Cambisols,1362,Haplic (undetermined) Cambisols (Dystric),TAXNWRB_Haplic.Cambisols..Dystric._250m_ll.tif,"Having a base saturation (by 1 M NH4OAc) of less than 50 percent in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.","Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having a base saturation (by 1 M NH4OAc) of less than 50 percent in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.",246,206,75,Dystric_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"30,246,206,75,255,Haplic Cambisols (Dystric)"
31,Haplic Cambisols (Eutric),Haplic.Cambisols..Eutric.,Cambisols,866,Haplic (undetermined) Cambisols (Eutric),TAXNWRB_Haplic.Cambisols..Eutric._250m_ll.tif,"Having a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.","Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having a base saturation (by 1 M NH4OAc) of 50 percent or more in the major part between 20 and 100 cm from the soil surface or between 20 cm and continuous rock or a cemented or indurated layer, or, in Leptosols, in a layer, 5 cm or more thick, directly above continuous rock. Other diagnostic horizons might occur but have not been recorded.",253,225,112,Eutric_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"31,253,225,112,255,Haplic Cambisols (Eutric)"
32,Haplic Cambisols (Humic),Haplic.Cambisols..Humic.,Cambisols,281,Haplic (undetermined) Cambisols (Humic),TAXNWRB_Haplic.Cambisols..Humic._250m_ll.tif,"Having the following organic carbon contents in the fine earth fraction as a weighted average in Ferralsols and Nitisols, 1.4 percent or more to a depth of 100 cm from the mineral soil surface; in Leptosols, 2 percent or more to a depth of 25 cm from the mineral soil surface; in other soils, 1 percent or more to a depth of 50 cm from the mineral soil surface. Other diagnostic horizons might occur but have not been recorded.","Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having the following organic carbon contents in the fine earth fraction as a weighted average in Ferralsols and Nitisols, 1.4 percent or more to a depth of 100 cm from the mineral soil surface; in Leptosols, 2 percent or more to a depth of 25 cm from the mineral soil surface; in other soils, 1 percent or more to a depth of 50 cm from the mineral soil surface. Other diagnostic horizons might occur but have not been recorded.",253,224,95,Humic_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"32,253,224,95,255,Haplic Cambisols (Humic)"
33,Haplic Cambisols (Sodic),Haplic.Cambisols..Sodic.,Cambisols,121,Haplic (undetermined) Cambisols (Sodic),TAXNWRB_Haplic.Cambisols..Sodic._250m_ll.tif,Having 15 percent or more exchangeable Na plus Mg on the exchange complex within 50 cm of the soil surface throughout. Other diagnostic horizons might occur but have not been recorded.,"Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having 15 percent or more exchangeable Na plus Mg on the exchange complex within 50 cm of the soil surface throughout. Other diagnostic horizons might occur but have not been recorded.",253,235,112,Eutric_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"33,253,235,112,255,Haplic Cambisols (Sodic)"
34,Leptic Cambisols,Leptic.Cambisols,Cambisols,199,Leptic Cambisols,TAXNWRB_Leptic.Cambisols_250m_ll.tif,Having continuous rock starting within 100 cm of the soil surface.,"Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. Having continuous rock starting within 100 cm of the soil surface.",253,225,112,Eutric_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"34,253,225,112,255,Leptic Cambisols"
35,Vertic Cambisols,Vertic.Cambisols,Cambisols,246,Vertic Cambisols,TAXNWRB_Vertic.Cambisols_250m_ll.tif,"The vertic horizon (from Latin vertere, to turn) is a clayey subsurface horizon that, as a result of shrinking and swelling, has slickensides and wedge-shaped structural aggregates.","Cambisols = Soils that show ""signs of beginning soil formation"", i.e. that are only moderately developed on account of their limited pedogenetic age or because of rejuvenation of the soil material. Moderately developed soils occur in all environments, from sea level to the highlands, from the equator to the boreal regions, and under all kinds of vegetation. The vertic horizon (from Latin vertere, to turn) is a clayey subsurface horizon that, as a result of shrinking and swelling, has slickensides and wedge-shaped structural aggregates.",253,223,112,Vertic_Cambisol.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"35,253,223,112,255,Vertic Cambisols"
36,Calcic Chernozems,Calcic.Chernozems,Chernozems,358,Calcic Chernozems,TAXNWRB_Calcic.Chernozems_250m_ll.tif,"The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.","Chernozems = Soils with deep, very dark surface soils and carbonate enrichment in the subsoil that occur in the steppe zone between the dry climates and the humid Temperate Zone. This transition zone has a climax vegetation of ephemeral grasses and dry
forest. The calcic horizon (from Latin calx, lime) is a horizon in which secondary calcium carbonate (CaCO3) has accumulated in a diffuse form (calcium carbonate present only in the form of fine particles of less than 1 mm, dispersed in the matrix) or as discontinuous concentrations (pseudomycelia, cutans, soft and hard nodules, or veins). The accumulation may be in the parent material or in subsurface horizons, but it can also occur in surface horizons. If the accumulation of soft carbonates becomes such that all or most of the pedological and/or lithological structures disappear and continuous concentrations of calcium carbonate prevail, a hypercalcic qualifier is used.",229,199,93,Calcic_Chernozem.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"36,229,199,93,255,Calcic Chernozems"
37,Haplic Chernozems,Haplic.Chernozems,Chernozems,1396,Haplic (undetermined) Chernozems,TAXNWRB_Haplic.Chernozems_250m_ll.tif,,"Chernozems = Soils with deep, very dark surface soils and carbonate enrichment in the subsoil that occur in the steppe zone between the dry climates and the humid Temperate Zone. This transition zone has a climax vegetation of ephemeral grasses and dry
forest. ",229,209,92,Haplic_Chernozem.jpg,Profielenfolder.jpg,Profielenfolder.jpg,"37,229,209,92,255,Haplic Chernozems"
