WORLDGRIDS_CODE,SERIES_NAME,ATTRIBUTE_TITLE,DESCRIPTION,ROOT_FILE,RESOLUTION_SOURCE_M,RESAMPLE_METHOD,CONFIDENCE_INTERVAL,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,Z_SCALE,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,MASK_VALUE,DATA_FORMAT,NO_DATA,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,DISTRIBUTION_POSSIBLE,DATA_LICENSE,DATA_LICENSE_URL,CITATION_ADDRESS,PUBLICATION_DATE,PUBLICATION_TITLE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,LINEAGE_CODE
EX5MOD5,MOD13Q1,Mean monthly MODIS EVI SepOct,Long-term averaged mean monthly MODIS Enhanced Vegetation Index (EVI) for months September and October. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/M_listeSepOct.vrt,250,bilinear,M,0.00 m,0.00 m,10000,-2000,10000,3000,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q1,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q5,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
EX6MOD5,MOD13Q1,Mean monthly MODIS EVI NovDec,Long-term averaged mean monthly MODIS Enhanced Vegetation Index (EVI) for months November and December. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/M_listeNovDec.vrt,250,bilinear,M,0.00 m,0.00 m,10000,-2000,10000,2000,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q2,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q6,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
ES1MOD5,MOD13Q1,SD monthly MODIS EVI JanFeb,Long-term s.d. of the monthly MODIS Enhanced Vegetation Index (EVI) for months January and February. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/SD_listeJanFeb.vrt,250,bilinear,M,0.00 m,0.00 m,10000,0,7500,700,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q3,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q7,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
ES2MOD5,MOD13Q1,SD monthly MODIS EVI MarApr,Long-term s.d. of the monthly MODIS Enhanced Vegetation Index (EVI) for months March and April. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/SD_listeMarApr.vrt,250,bilinear,M,0.00 m,0.00 m,10000,0,7500,700,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q4,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q8,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
ES3MOD5,MOD13Q1,SD monthly MODIS EVI MayJun,Long-term s.d. of the monthly MODIS Enhanced Vegetation Index (EVI) for months May and June. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/SD_listeMayJun.vrt,250,bilinear,M,0.00 m,0.00 m,10000,0,7500,700,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q5,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q9,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
ES4MOD5,MOD13Q1,SD monthly MODIS EVI JulAug,Long-term s.d. of the monthly MODIS Enhanced Vegetation Index (EVI) for months July and August. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/SD_listeJulAug.vrt,250,bilinear,M,0.00 m,0.00 m,10000,0,7500,700,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q6,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q10,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
ES5MOD5,MOD13Q1,SD monthly MODIS EVI SepOct,Long-term s.d. of the monthly MODIS Enhanced Vegetation Index (EVI) for months September and October. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/SD_listeSepOct.vrt,250,bilinear,M,0.00 m,0.00 m,10000,0,7500,700,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q7,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q11,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
ES6MOD5,MOD13Q2,SD monthly MODIS EVI NovDec,Long-term s.d. of the monthly MODIS Enhanced Vegetation Index (EVI) for months November and December. Derived using a stack of MOD13Q1 EVI images.,/data/MOD13Q1/SD_listeNovDec.vrt,250,bilinear,M,0.00 m,0.00 m,10000,0,7500,700,Int16,-32768,1,,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q8,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13q12,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MOD13Q1
I01MOD4,MCD43A4,Mean monthly MODIS NIR band 4 Jan,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for January. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeJan_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
I02MOD4,MCD43A4,Mean monthly MODIS NIR band 4 Feb,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for February. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeFeb_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a5,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
I03MOD4,MCD43A4,Mean monthly MODIS NIR band 4 Mar,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for March. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeMar_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a6,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
I04MOD4,MCD43A4,Mean monthly MODIS NIR band 4 Apr,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for April. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeApr_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a7,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
I05MOD4,MCD43A4,Mean monthly MODIS NIR band 4 May,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for May. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeMay_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a8,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
I06MOD4,MCD43A4,Mean monthly MODIS NIR band 4 Jun,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for June. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeJun_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a9,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
I07MOD4,MCD43A4,Mean monthly MODIS NIR band 4 Jul,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for July. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeJul_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a10,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
I08MOD4,MCD43A4,Mean monthly MODIS NIR band 4 Aug,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for August. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeAug_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a11,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
I09MOD4,MCD43A4,Mean monthly MODIS NIR band 4 Sep,Long-term averaged mean monthly surface reflectance (NIR) band 4 MODIS for September. Derived using a stack of MCD43A4 band 4 images.,/data/MCD43A4/M_listeSep_4.vrt,500,bilinear,M,0.00 m,0.00 m,1,0,10000,1000,Int16,-32768,1,"Reflectance, no units",https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a12,LAND PROCESSES DISTRIBUTED ACTIVE ARCHIVE CENTER,YES,,https://lpdaac.usgs.gov/products/modis_policies,lpdaac@usgs.gov,2003,,ftp.ladsftp.nascom.nasa.gov,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd43a4,https://lpdaac.usgs.gov,,https://github.com/ISRICWorldSoil/SoilGrids250m/tree/master/grids/MCD43A4
