,,,,,,,,,,,,,,,,,,,,,,,m,,Mg C ha-1,Mg C ha-1,Mg C ha-1,Mg C ha-1 yr-1,yr
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Guinea Media,M0010,Montecristi Province,Dominican Republic,19.708301,-71.722997,19.708301,-71.722997,estimated from GE,62.5,medium,central,,estuarine,,,,2012,2.45,Y,,,,,
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Laguna Media,M0011,Montecristi Province,Dominican Republic,19.690274,-71.715383,19.690274,-71.715383,estimated from GE,62.5,medium,central,,estuarine,,,,2012,2.39,Y,,,,,
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Mediana Sur,M0012,Montecristi Province,Dominican Republic,19.69203,-71.711328,19.69203,-71.711328,estimated from GE,62.5,medium,central,,estuarine,,,,2012,2.22,Y,,,,,
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Bajo Final,M0013,Montecristi Province,Dominican Republic,19.876278,-71.650746,19.876278,-71.650746,estimated from GE,62.5,short,central,,riverine,Y,,,2012,2.50,Y,,,,,
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Granja Bajo,M0014,Montecristi Province,Dominican Republic,19.881405,-71.647282,19.881405,-71.647282,estimated from GE,62.5,short,central/back,,riverine,,,,2012,0.66,Y,,,,,
Kauffmann et al 2014,,Y,in,"J.B. Kauffmann, Boone.kauffman@Oregonstate.edu",JBK14 Morro Bajo,M0015,Montecristi Province,Dominican Republic,19.884008,-71.642497,19.884008,-71.642497,estimated from GE,62.5,short,back,,marine,,,,2012,2.27,Y,,,,,
Alongi et al 1999,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA99 HM1,M0016,Hinchinbrook,Australia,-18.418583,146.193519,-18.418583,146.193519,estimated from GE,150,,outer,,estuarine/marine,,,,1997,0.35,Y,,,,,
Alongi et al 1999,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA99 HM2,M0017,Hinchinbrook,Australia,-18.364415,146.14926,-18.364415,146.14926,estimated from GE,150,,outer,,marine,,,,1997,0.58,Y,,,,,
Chen and Twilley 1999,N measurements only done to .4 m,Y,in,"R. R. Twilley, rtwilley@usl.edu",RC99 S1,M0018,Everglades,USA,25.362304,-81.108188,25.362304,-81.108188,approximate,2500,,outer/central,,estuarine/marine,,,,1997,0.60,N,,,,,
Chen and Twilley 1999,,Y,in,"R. R. Twilley, rtwilley@usl.edu",RC99 S3,M0019,Everglades,USA,25.365286,-81.08602,25.365286,-81.08602,approximate,2500,,outer/central,,riverine,,,,1997,0.60,N,,,,,
Chen and Twilley 1999,,Y,in,"R. R. Twilley, rtwilley@usl.edu",RC99 S4,M0020,Everglades,USA,25.378163,-81.033439,25.378163,-81.033439,approximate,2500,,outer/central,,riverine,,,,1997,0.60,N,,,,,
Chen and Twilley 1999,,Y,in,"R. R. Twilley, rtwilley@usl.edu",RC99 S6,M0021,Everglades,USA,25.417346,-80.954333,25.417346,-80.954333,approximate,2500,,outer/central,,riverine,,,,1997,0.60,N,,,,,
Alongi 1996,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA96 Low,M0022,Hinchinbrook,Australia,-18.247934,146.233685,-18.247934,146.233685,estimated from GE,25,,outer/central,,estuarine,,,,1989,0.20,N,,,,,
Alongi 1996,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA96 Med,M0023,Hinchinbrook,Australia,-18.248799,146.233672,-18.248799,146.233672,estimated from GE,25,,central,,estuarine,,,,1989,0.20,N,,,,,
Alongi 1996,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA96 High,M0024,Hinchinbrook,Australia,-18.24988,146.233706,-18.24988,146.233706,estimated from GE,25,,central,,estuarine,,,,1989,0.20,N,,,,,
Alongi 1996,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA96 Creek Bank,M0025,Hinchinbrook,Australia,-18.247089,146.233773,-18.247089,146.233773,estimated from GE,25,,outer,,estuarine,,,,1989,0.20,N,,,,,
Alongi et al 2000,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA00 PH1,M0026,Port Headland,Australia,-20.322908,118.651878,-20.322908,118.651878,estimated from GE,40,,outer/central,,estuarine,Y,Rhizophora stylosa,,1994,0.68943,N,,,,,
Alongi et al 2000,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA00 PH2,M0027,Port Headland,Australia,-20.321774,118.651121,-20.321774,118.651121,estimated from GE,40,,central,,estuarine,Y,Avicennia marina,,1994,0.82095,N,,,,,
Alongi et al 2000,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA00 D1,M0028,Dampier,Australia,-20.728059,116.620908,-20.728059,116.620908,estimated from GE,40,,outer,,estuarine,Y,Rhizophora stylosa,,1994,0.85178,N,,,,,
Alongi et al 2000,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA00 D2,M0029,Dampier,Australia,-20.72806,116.625047,-20.72806,116.625047,estimated from GE,40,,outer,,estuarine,Y,Avicennia marina,,1994,1,N,,,,,
Alongi et al 2000,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA00 MB1,M0030,Cape Range National Park,Australia,-21.964478,113.946274,-21.964478,113.946274,estimated from GE,40,,outer,,estuarine,Y,Rhizophora stylosa,,1994,0.82121,N,,,,,
Alongi et al 2000,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA00 BR1,M0031,Cape Range National Park,Australia,-22.310318,114.121795,-22.310318,114.121795,estimated from GE,40,,central,,estuarine,Y,Avicennia marina,,1994,0.52013,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T00,M0032,Hinchinbrook,Australia,-18.442721,146.186194,-18.442721,146.186194,estimated from GE,10,,outer,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T01,M0033,Hinchinbrook,Australia,-18.442462,146.18623,-18.442462,146.18623,estimated from GE,10,,outer,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T02,M0034,Hinchinbrook,Australia,-18.442197,146.186261,-18.442197,146.186261,estimated from GE,10,,outer,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T03,M0035,Hinchinbrook,Australia,-18.441938,146.186312,-18.441938,146.186312,estimated from GE,10,,outer,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T04,M0036,Hinchinbrook,Australia,-18.441679,146.186347,-18.441679,146.186347,estimated from GE,10,,outer,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T05,M0037,Hinchinbrook,Australia,-18.441423,146.186399,-18.441423,146.186399,estimated from GE,10,,outer,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T06,M0038,Hinchinbrook,Australia,-18.44117,146.186447,-18.44117,146.186447,estimated from GE,10,,outer,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T07,M0039,Hinchinbrook,Australia,-18.440898,146.186483,-18.440898,146.186483,estimated from GE,10,,outer/central,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T08,M0040,Hinchinbrook,Australia,-18.44063,146.186519,-18.44063,146.186519,estimated from GE,10,,central,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T09,M0041,Hinchinbrook,Australia,-18.440358,146.186545,-18.440358,146.186545,estimated from GE,10,,central,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T10,M0042,Hinchinbrook,Australia,-18.440094,146.18658,-18.440094,146.18658,estimated from GE,10,,central,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T11,M0043,Hinchinbrook,Australia,-18.439847,146.186604,-18.439847,146.186604,estimated from GE,10,,central/back,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T12,M0044,Hinchinbrook,Australia,-18.439568,146.186662,-18.439568,146.186662,estimated from GE,10,,central/back,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T13,M0045,Hinchinbrook,Australia,-18.439432,146.186671,-18.439432,146.186671,estimated from GE,10,,back,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T14,M0046,Hinchinbrook,Australia,-18.439263,146.186688,-18.439263,146.186688,estimated from GE,10,,back,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T15,M0047,Hinchinbrook,Australia,-18.439041,146.186717,-18.439041,146.186717,estimated from GE,10,,back,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T16,M0048,Hinchinbrook,Australia,-18.438787,146.186745,-18.438787,146.186745,estimated from GE,10,,back,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T17,M0049,Hinchinbrook,Australia,-18.438536,146.186804,-18.438536,146.186804,estimated from GE,10,,back,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T18,M0050,Hinchinbrook,Australia,-18.438278,146.186847,-18.438278,146.186847,estimated from GE,10,,central/back,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T19,M0051,Hinchinbrook,Australia,-18.438016,146.186906,-18.438016,146.186906,estimated from GE,10,,central,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 T20,M0052,Hinchinbrook,Australia,-18.437749,146.186938,-18.437749,146.186938,estimated from GE,10,,central,,marine/estuarine,,,,1996,0.05,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P01S01,M0053,Hinchinbrook,Australia,-18.358774,146.145808,-18.358774,146.145808,estimated from GE,25,,outer,,marine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P01S03,M0054,Hinchinbrook,Australia,-18.358774,146.145808,-18.358774,146.145808,estimated from GE,25,,outer,,marine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P02S01,M0055,Hinchinbrook,Australia,-18.358643,146.14801,-18.358643,146.14801,estimated from GE,25,,outer,,marine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P02SO3,M0056,Hinchinbrook,Australia,-18.358643,146.14801,-18.358643,146.14801,estimated from GE,25,,outer,,marine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P03S01,M0057,Hinchinbrook,Australia,-18.424325,146.195218,-18.424325,146.195218,estimated from GE,25,,outer,,marine,,,,1996,0.40,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P03S02,M0058,Hinchinbrook,Australia,-18.424325,146.195218,-18.424325,146.195218,estimated from GE,25,,outer,,marine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P03S03,M0059,Hinchinbrook,Australia,-18.424325,146.195218,-18.424325,146.195218,estimated from GE,25,,outer,,marine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P04S01,M0060,Hinchinbrook,Australia,-18.42286,146.19197,-18.42286,146.19197,estimated from GE,25,,central,,marine/estuarine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P04S02,M0061,Hinchinbrook,Australia,-18.42286,146.19197,-18.42286,146.19197,estimated from GE,25,,central,,marine/estuarine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P04S03,M0062,Hinchinbrook,Australia,-18.42286,146.19197,-18.42286,146.19197,estimated from GE,25,,central,,marine/estuarine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P05S01,M0063,Hinchinbrook,Australia,-18.421099,146.193129,-18.421099,146.193129,estimated from GE,25,,central/outer,,marine/estuarine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P05S02,M0064,Hinchinbrook,Australia,-18.421099,146.193129,-18.421099,146.193129,estimated from GE,25,,central/outer,,marine/estuarine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P05S03,M0065,Hinchinbrook,Australia,-18.421099,146.193129,-18.421099,146.193129,estimated from GE,25,,central/outer,,marine/estuarine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P06S01,M0066,Hinchinbrook,Australia,-18.40913,146.21997,-18.40913,146.21997,estimated from GE,25,,central,,riverin,,,,1996,0.40,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P06S02,M0067,Hinchinbrook,Australia,-18.40913,146.21997,-18.40913,146.21997,estimated from GE,25,,central,,riverine,,,,1996,0.50,N,,,,,
Matsui 1998,,Y,in,"N. Matsui, matui_naohiro@kanso.co.jp",NM98 P06S03,M0068,Hinchinbrook,Australia,-18.40913,146.21997,-18.40913,146.21997,estimated from GE,25,,central,,riverine,,,,1996,0.50,N,,,,,
Mckee et al 2002,,Y,out,K. L. McKee,KLM02 Fringe,M0069,Twin Cays,Belize,16.829848,-88.103264,16.830115,-88.10297127,approximate,750,medium,outer,,marine,,,,1995,0.20,N,,,,,
Mckee et al 2002,,Y,out,K. L. McKee,KLM02 Transition,M0070,Twin Cays,Belize,16.829848,-88.103264,16.830115,-88.10297127,approximate,750,short,central,,marine,,,,1995,0.20,N,,,,,
Mckee et al 2002,,Y,out,K. L. McKee,KLM02 Dwarf,M0071,Twin Cays,Belize,16.829848,-88.103264,16.830115,-88.10297127,approximate,750,short,back,,marine,,,,1995,0.20,N,,,,,
Wooller et al 2003,,Y,in,"M. Wooller, mjwooller@alaska.edu",MW03 D11,M0072,Twin Cays,Belize,16.831347,-88.106153,16.831347,-88.106153,estimated from GE,25,,central,Y,marine,,,,2001,0.05,N,,,,,
Wooller et al 2003,,Y,in,"M. Wooller, mjwooller@alaska.edu",MW03 D14,M0073,Twin Cays,Belize,16.834478,-88.106216,16.834478,-88.106216,estimated from GE,25,,outer,,marine,,,,2001,0.05,N,,,,,
Wooller et al 2003,,Y,out,"M. Wooller, mjwooller@alaska.edu",MW03 E5,M0074,Twin Cays,Belize,16.825075,-88.105023,16.825075,-88.105023,estimated from GE,25,,central,,marine,,,,2001,0.05,N,,,,,
Wooller et al 2003,,Y,out,"M. Wooller, mjwooller@alaska.edu",MW03 E9,M0075,Twin Cays,Belize,16.828987,-88.105276,16.828987,-88.105276,estimated from GE,25,,outer,,marine,,,,2001,0.05,N,,,,,
Wooller et al 2003,,Y,in,"M. Wooller, mjwooller@alaska.edu",MW03 G12,M0076,Twin Cays,Belize,16.832389,-88.103341,16.832389,-88.103341,estimated from GE,25,,central,,marine,,,,2001,0.05,N,,,,,
Wooller et al 2003,,Y,out,"M. Wooller, mjwooller@alaska.edu",MW03 H13,M0077,Twin Cays,Belize,16.833514,-88.101791,16.83364585,-88.10167391,estimated from GE,25,,central,,marine,,,,2001,0.05,N,,,,,
Wooller et al 2003,,Y,in,"M. Wooller, mjwooller@alaska.edu",MW03 I13,M0078,Twin Cays,Belize,16.833349,-88.100789,16.833349,-88.100789,estimated from GE,25,,outer,,marine,,,,2001,0.05,N,,,,,
Wooller et al 2003,,Y,in,"M. Wooller, mjwooller@alaska.edu",MW03 MOW1,M0079,Man of War Cay,Belize,16.80778,-88.1507,16.80778,-88.1507,approximate,750,,unknown,,marine,,,,2001,0.05,N,,,,,
Lacerda et al 1995,,Y,in,L. D. Lacerda,LDL95 Rhizophora,M0080,Sepetiba Bay ,Brazil,-22.933926,-43.889642,-22.933926,-43.889642,approximate,600,,unknown,,marine,,Rhizophora mangle ,,1993,0.15,N,,,,,
Lacerda et al 1995,,Y,in,L. D. Lacerda,LDL95 Avicennia,M0081,Sepetiba Bay ,Brazil,-22.933926,-43.889642,-22.933926,-43.889642,approximate,600,,unknown,,marine,,Avicennia schaueriana ,,1993,0.15,N,,,,,
Jennerjahn and Ittekkot 2002,"Can't find original source, Silva 1991",Y,in,C. A. R. Silva,JI97 Itacuruca,M0082,Sepetiba Bay ,Brazil,-22.933926,-43.889642,-22.933926,-43.889642,approximate,600,,unknown,,marine,,,,1989,0.01,N,,,,,
Jennerjahn and Ittekkot 1997,,Y,in,T. C. Jennerjahn,JI97 Paraiba do Sul,M0083,Mouth of Paraiba do Sul,Brazil,-21.601023,-41.049465,-21.601023,-41.049465,approximate,20000,,unknown,,unknown,,,,1992,0.01,N,,,,,
Alongi et al 2005,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA05 JJ1,M0084,Fujian Province,China,24.393693,117.922137,24.393693,117.922137,estimated from GE,50,,outer,,estuarine/marine,,Kandelia candel,,2002,1.00,N,,,,,
Alongi et al 2005,,Y,in,"D. M. Alongi, d.alongi@aims.gov.au",DMA05 JJ2,M0085,Fujian Province,China,24.402439,117.916642,24.402439,117.916642,estimated from GE,50,,outer,,estuarine/marine,,Kandelia candel,,2002,1.00,N,,,,,
Alongi et al 2005,,Y,out,"D. M. Alongi, d.alongi@aims.gov.au",DMA05 JJ3,M0086,Fujian Province,China,24.403115,117.906607,24.403115,117.906607,estimated from GE,50,,outer,,estuarine/marine,,Kandelia candel,,2002,1.00,N,,,,,
Twilley et al 1997,,Y,in,"R. R. Twilley, rtwilley@usl.edu",RRT97 M1 25m,M0087,Guayas River,Ecuador,-2.448136,-79.690736,-2.448136,-79.690736,estimated from GE,50,medium,outer,,riverine,,,,1995,unknown,unknown,,,,,
Twilley et al 1997,,Y,in,"R. R. Twilley, rtwilley@usl.edu",RRT97 M1 50m,M0088,Guayas River,Ecuador,-2.448372,-79.690668,-2.448372,-79.690668,estimated from GE,50,medium,outer,,riverine,,,,1995,unknown,unknown,,,,,
Twilley et al 1997,,Y,out,"R. R. Twilley, rtwilley@usl.edu",RRT97 M2 25m,M0089,Guayas River,Ecuador,-2.435707,-79.687784,-2.435707,-79.687784,estimated from GE,50,tall,outer,,riverine,,,,1995,unknown,unknown,,,,,
Twilley et al 1997,,Y,out,"R. R. Twilley, rtwilley@usl.edu",RRT97 M2 50m,M0090,Guayas River,Ecuador,-2.435771,-79.687614,-2.435771,-79.687614,estimated from GE,50,tall,outer,,riverine,,,,1995,unknown,unknown,,,,,
Twilley et al 1997,,Y,out,"R. R. Twilley, rtwilley@usl.edu",RRT97 M3 25m,M0091,Guayas River,Ecuador,-2.428006,-79.687389,-2.428006,-79.687389,estimated from GE,50,giant,outer,,riverine,,,,1995,unknown,unknown,,,,,
Twilley et al 1997,,Y,out,"R. R. Twilley, rtwilley@usl.edu",RRT97 M3 50m,M0092,Guayas River,Ecuador,-2.42792,-79.687291,-2.42792,-79.687291,estimated from GE,50,giant,outer,,riverine,,,,1995,unknown,unknown,,,,,
Marchand et al 2004,"Former mangroves, but now water as of 2012",Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C1,M0093,Sinnamary,French Guiana,5.348996,-52.84489907,5.348996,-52.84489907,exact,5,,outer,,marine,,,,2001,1.00,N,,,,,
"Marchand et al 2004, Marchand et al 2003","""Recolonized"" forest",Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C2,M0094,Sinnamary,French Guiana,5.444081,-52.9951442,5.444081,-52.9951442,exact,5,,central,,estuarine,,,,2000,1.40,N,,,,,
Marchand et al 2004,"""Cemetery"" forest",Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C4,M0095,Sinnamary,French Guiana,5.443449,-52.99503385,5.443449,-52.99503385,exact,5,,outer/central,,estuarine,,,,2001,1.00,N,,,,,
Marchand et al 2003,"Former mangroves, but now water as of 2012",Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C8,M0096,Sinnamary,French Guiana,5.347671,-52.84372236,5.347671,-52.84372236,exact,5,,outer,,marine,,,,2000,1.40,N,,,,,
Marchand et al 2004,,Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C11,M0097,Sinnamary,French Guiana,5.444651,-52.99496564,5.444651,-52.99496564,exact,5,,central,,estuarine,,,,2000,1.00,N,,,,,
"Marchand et al 2004, Marchand et al 2003",,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C12,M0098,Sinnamary,French Guiana,5.361244,-52.8878859,5.361244,-52.8878859,exact,5,,back,,marine,,,,2000,1.40,N,,,,,
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C14,M0099,Sinnamary,French Guiana,5.361213,-52.88600941,5.361213,-52.88600941,exact,5,,back,,marine,,,,2001,1.00,N,,,,,
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C15,M0100,Sinnamary,French Guiana,5.361265,-52.88671322,5.361265,-52.88671322,exact,5,,back,,marine,,,,2001,1.00,N,,,,,
Marchand et al 2004,"Former mangroves, but now water as of 2009",Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C17,M0101,Sinnamary,French Guiana,5.357695,-52.84487103,5.357695,-52.84487103,exact,5,,outer,,marine,,,,2001,1.00,N,,,,,
Marchand et al 2004,,Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C18,M0102,Sinnamary,French Guiana,5.444407,-52.99498288,5.444407,-52.99498288,exact,5,,central,,estuarine,,,,2001,1.00,N,,,,,
Marchand et al 2004,,Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C20,M0103,Sinnamary,French Guiana,5.379758,-52.92078046,5.379758,-52.92078046,exact,5,,back,,marine,,,,2002,1.00,N,,,,,
Marchand et al 2004,,Y,out,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C21,M0104,Sinnamary,French Guiana,5.421722,-53.00349663,5.421722,-53.00349663,exact,5,,back,,marine,,,,2002,1.00,N,,,,,
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C22,M0105,Kaw River,French Guiana,4.790728,-52.13010451,4.790728,-52.13010451,exact,5,,central,,marine/estuarine,,,,2002,1.00,N,,,,,
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C23,M0106,Kaw River,French Guiana,4.789756,-52.13249223,4.789756,-52.13249223,exact,5,,central,,estuarine,,,,2002,1.00,N,,,,,
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C24,M0107,Kaw River,French Guiana,4.788874,-52.16194678,4.788874,-52.16194678,exact,5,,central,,estuarine,,,,2002,1.00,N,,,,,
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C25,M0108,Kaw River,French Guiana,4.783776,-52.1330955,4.783776,-52.1330955,exact,5,,outer,,riverine/estuarine,,,,2002,1.00,N,,,,,
