Soil.Classification.code,count,Translated_FAO,Alternatively,TAXNWRB
gM5p222c,6,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5p224cv9,6,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5p314cv11,6,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5p324cv8,6,Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
3h82,15,Gleyic Luvisol,,Gleyic Luvisols
3c82,10,Gleyic Luvisol,,Gleyic Luvisols
2r432x9,7,"Gleyic Podzol (Anthric, Ruptic)",,Gleyic Podzols
2r431,60,Gleyic Podzol (Anthric),,Gleyic Podzols
2r432,37,Gleyic Podzol (Anthric),,Gleyic Podzols
2r422,29,Gleyic Podzol (Anthric),,Gleyic Podzols
2r423,26,Gleyic Podzol (Anthric),,Gleyic Podzols
2q431,13,Gleyic Podzol (Plaggic),,Gleyic Podzols
2q423,7,Gleyic Podzol (Plaggic),,Gleyic Podzols
2q433,7,Gleyic Podzol (Plaggic),,Gleyic Podzols
5t431,16,Haplic Arenosol,,Haplic Arenosols
5t421,8,Haplic Arenosol,,Haplic Arenosols
5t4311a,8,Haplic Arenosol,,Haplic Arenosols
5t511,6,Haplic Arenosol,,Haplic Arenosols
b5t421,6,Haplic Arenosol,,Haplic Arenosols
k5k4211a,10,Haplic Arenosol (Novic),,Haplic Arenosols
g2i512,11,Haplic Cambisol (Arenic),,Haplic Cambisols
5v511,10,Haplic Cambisol (Arenic),,Haplic Cambisols
2i512,9,Haplic Cambisol (Arenic),,Haplic Cambisols
5v431,9,Haplic Cambisol (Arenic),,Haplic Cambisols
2i433,8,Haplic Cambisol (Arenic),,Haplic Cambisols
5v432,8,Haplic Cambisol (Arenic),,Haplic Cambisols
g2i514,7,Haplic Cambisol (Arenic),,Haplic Cambisols
5v431g6,6,Haplic Cambisol (Arenic),,Haplic Cambisols
5v513,6,Haplic Cambisol (Arenic),,Haplic Cambisols
R5x235a,11,"Haplic Cambisol (Clayic, Calcaric)",,Haplic Cambisols (Calcaric)
R5x215a,8,"Haplic Cambisol (Clayic, Calcaric)",,Haplic Cambisols (Calcaric)
R5x222a,8,"Haplic Cambisol (Clayic, Calcaric)",,Haplic Cambisols (Calcaric)
R5x235ag11,7,"Haplic Cambisol (Clayic, Calcaric)",,Haplic Cambisols (Calcaric)
5x82g10,10,Haplic Cambisol (Clayic),,Haplic Cambisols
R5x235c,9,Haplic Cambisol (Clayic),,Haplic Cambisols
R5p324a,9,"Haplic Gleysol (Clayic, Calcaric)",,Haplic Cambisols (Calcaric)
R5p324c,31,Haplic Gleysol (Clayic),,Haplic Cambisols
R5p323c,25,Haplic Gleysol (Clayic),,Haplic Cambisols
R5p314c,22,Haplic Gleysol (Clayic),,Haplic Cambisols
R5p235c,19,Haplic Gleysol (Clayic),,Haplic Cambisols
R5p225c,18,Haplic Gleysol (Clayic),,Haplic Cambisols
R5p334c,16,Haplic Gleysol (Clayic),,Haplic Cambisols
eR5p314c,7,Haplic Gleysol (Clayic),,Haplic Cambisols
R5p215c,7,Haplic Gleysol (Clayic),,Haplic Cambisols
3i82,18,Haplic Luvisol,,Haplic Luvisols
3d82,9,Haplic Luvisol,,Haplic Luvisols
4i423,7,Haplic Umbrisol,,Haplic Umbrisols
4i433,7,Haplic Umbrisol,,Haplic Umbrisols
4i421,6,Haplic Umbrisol,,Haplic Umbrisols
M5m321c,13,Histic Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
gM5m321c,10,Histic Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
k4d421,6,"Histic Gleysol (Arenic, Novic)",Mollic Gleysol,Mollic Gleysols
k4c33,6,"Histic Gleysol (Clayic, Novic)",Mollic Gleysol,Mollic Gleysols
R5m321c,9,Histic Gleysol (Clayic),Mollic Gleysol,Mollic Gleysols
2n422,10,Histic Podzol,Gleyic Podzol,Gleyic Podzols
2m423,10,Histic Podzol (Anthric),Gleyic Podzol,Gleyic Podzols
2m421,6,Histic Podzol (Anthric),Gleyic Podzol,Gleyic Podzols
2m432,6,Histic Podzol (Anthric),Gleyic Podzol,Gleyic Podzols
M4o315a,11,"Mollic Gleyic Fluvisol (Calcaric, Clayic)",Haplic Fluvisol,Haplic Fluvisols
M4p315a,11,"Mollic Gleyic Fluvisol (Calcaric, Clayic)",Haplic Fluvisol,Haplic Fluvisols
M4p235a,8,"Mollic Gleyic Fluvisol (Calcaric, Clayic)",Haplic Fluvisol,Haplic Fluvisols
M4p325a,7,"Mollic Gleyic Fluvisol (Calcaric, Clayic)",Haplic Fluvisol,Haplic Fluvisols
M4p315b,15,Mollic Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M4n323c,9,Mollic Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M4p235b,9,Mollic Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M4n313c,8,Mollic Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
M4n324cl3v9,7,Mollic Gleyic Fluvisol (Clayic),Haplic Fluvisol,Haplic Fluvisols
K4p215c,7,Mollic Gleysoil (Clayic),,Mollic Gleysols
R4p333c,8,Mollic Gleysol (Clayic),,Mollic Gleysols
R4m321c,7,Mollic Gleysol (Clayic),,Mollic Gleysols
1vs,25,Ombric Fibric Histosol (Dystric),Fibric Histosol,Fibric Histosols
1hs,18,Ombric Fibric Histosol (Dystric),Fibric Histosol,Fibric Histosols
1ds,9,Ombric Fibric Histosol (Dystric),Fibric Histosol,Fibric Histosols
4s423,24,Plaggic Anthrosol,,
4s432,19,Plaggic Anthrosol,,
4r423,9,Plaggic Anthrosol,,
4s431,9,Plaggic Anthrosol,,
4r432,8,Plaggic Anthrosol,,
4s434t14,8,Plaggic Anthrosol,,
4r433t11,7,Plaggic Anthrosol,,
4r433,6,Plaggic Anthrosol,,
4r512,6,Plaggic Anthrosol,,
4r513t6,6,Plaggic Anthrosol,,
4s431w7,6,Plaggic Anthrosol,,
4s433t7g10,6,Plaggic Anthrosol,,
2d422,10,Plaggic Cambisol,,
1hz12,8,Sapric Histosol,,Sapric Histosols
1sk9,8,Sapric Histosol,,Sapric Histosols
1hz9,7,Sapric Histosol,,Sapric Histosols
fk4k432g5,7,"Umbric Gleysoil (Arenic, Novic)",,Umbric Gleysols
fk4k423,6,"Umbric Gleysoil (Arenic, Novic)",,Umbric Gleysols
4k423x8,8,"Umbric Gleysoil (Arenic, Ruptic)",,Umbric Gleysols
4k432g5x9,8,"Umbric Gleysoil (Arenic, Ruptic)",,Umbric Gleysols
4k424t10,7,"Umbric Gleysoil (Arenic, Ruptic)",,Umbric Gleysols
4k423,13,Umbric Gleysoil (Arenic),,Umbric Gleysols
4h423,11,Umbric Gleysoil (Arenic),,Umbric Gleysols
4k422,6,Umbric Gleysoil (Arenic),,Umbric Gleysols
