number,names,Full_name,SYM90,Group,Comments
42,Gp,Plinthic Gleysols,PT,Plinthosol,
43,Gx,Gelic Gleysols,GLi,Cryosol,
44,H,Phaeozems,PH,Phaeozem,
45,Hc,Calcaric Phaeozems,PHc,Phaeozem,
46,Hg,Gleyic Phaeozems,PHg,Phaeozem,
47,Hh,Haplic Phaeozems,PHh,Phaeozem,
48,Hl,Luvic Phaeozems,PHl,Phaeozem,
49,I,Lithosols,LPq,Leptosol,
50,J,Fluvisols,FL,Fluvisol,
51,Jc,Calcaric Fluvisols,FLc,Fluvisol,
52,Jd,Dystric Fluvisols,FLd,Fluvisol,
53,Je,Eutric Fluvisols,FLe,Fluvisol,
54,Jt,Thionic Fluvisols,FLt,Fluvisol,
55,K,Kastanozems,KS,Kastanozem,
56,Kh,Haplic Kastanozems,KSh,Kastanozem,
57,Kk,Calcic Kastanozems,KSk,Kastanozem,
58,Kl,Luvic Kastanozems,KSl,Kastanozem,
59,L,Luvisols,LV,Luvisol,
60,La,Albic Luvisols,LVa,Luvisol,
61,Lc,Chromic Luvisols,LVx,Luvisol,
62,Lf,Ferric Luvisols,LXf,Lixisol,
63,Lg,Gleyic Luvisols,LVg,Luvisol,
64,Lk,Calcic Luvisols,LVk,Luvisol,"x Volgens FAO, volgende aaname gebruiken voor calcic Luvisols (74): 50% naar CL en 25% naar 50% naar LV"
65,Lo,Orthic Luvisols,LVh,Luvisol,
66,Lp,Plinthic Luvisols,LXp,Lixisol,"x  Volgens FAO, volgende aaname gebruiken voor Lp: 50% LV en 50% PT"
67,Lv,Vertic Luvisols,LVv,Luvisol,
68,M,Greyzems,GR,Kastanozem,
69,Mg,Gleyic Greyzems,GRg,Kastanozem,
70,Mo,Orthic Greyzems,GRh,Kastanozem,
71,N,Nitosols,NT,Nitisol,
72,Nd,Dystric Nitosols,NTh,Nitisol,
73,Ne,Eutric Nitosols,NTr,Nitisol,
74,Nh,Humic Nitosols,NTu,Nitisol,
75,NI,No Information,NI,,
76,O,Histosols,HS,Histosol,
77,Od,Dystric Histosols,HS,Histosol,
78,Oe,Eutric Histosols,HS,Histosol,
79,Ox,Gelic Histosols,HSi,Cryosol,
80,P,Podzols,PZ,Podzol,
81,Pf,Ferric Podzols,PZf,Podzol,
82,Pg,Gleyic Podzols,PZg,Podzol,
83,Ph,Humic Podzols,PZc,Podzol,
84,Pl,Leptic Podzols,PZb,Podzol,
85,Po,Orthic Podzols,PZh,Podzol,
86,Pp,Placic Podzols,PZf,Podzol,
87,Q,Arenosols,AR,Arenosol,
88,Qa,Albic Arenosols,ARa,Arenosol,
89,Qc,Cambic Arenosols,ARb,Arenosol,
90,Qf,Ferralic Arenosols,ARo,Arenosol,
91,Ql,Luvic Arenosols,ARl,Arenosol,
92,R,Regosols,RG,Regosol,
93,Rc,Calcaric Regosols,RGc,Regosol,
94,Rd,Dystric Regosols,RGd,Regosol,
95,Re,Eutric Regosols,RGe,Regosol,
96,RK,Rock Outcrops,RK,,
97,Rx,Gelic Regosols,RGi,Cryosol,
98,S,Solonetz,SN,Solonetz,
99,Sg,Gleyic Solonetz,SNg,Solonetz,
100,Sm,Mollic Solonetz,SNm,Solonetz,
101,So,Orthic Solonetz,SNh,Solonetz,
102,ST,Salt flats,ST,,
103,T,Andosols,AN,Andosol,
104,Th,Humic Andosols,ANu,Andosol,
105,Tm,Mollic Andosols,ANm,Andosol,
106,To,Ochric Andosols,ANh,Andosol,
107,Tv,Vitric Andosols,ANz,Andosol,
108,U,Rankers,LPu,Umbrisol,"x  Volgens FAO, volgende aaname gebruiken voor Rankers (U): 50% LP en 50% UM"
109,V,Vertisols,VR,Vertisol,
110,Vc,Chromic Vertisols,VR,Vertisol,
111,Vp,Pellic Vertisols,VR,Vertisol,
112,W,Planosols,PL,Planosol,
113,Wd,Dystric Planosols,PLd,Planosol,
114,We,Eutric Planosols,PLe,Planosol,
115,Wh,Humic Planosols,PLu,Planosol,
116,Wm,Mollic Planosols,PLm,Planosol,
117,WR,Water bodies,WR,,
118,Ws,Sodic Planosols,PLe,Planosol,
119,Wx,Gelic Planosols,PLi,Cryosol,
120,X,Xerosols,RG,Regosol,
121,Xh,Haplic Xerosols,RGc,Regosol,
122,Xk,Calcic Xerosols,CLh,Calcisol,
123,Xl,Luvic Xerosols,LVh,Luvisol,
124,Xy,Gypsic Xerosols,GY,Gypsisol,
125,Y,Yermosols,RG,Regosol,
126,Yh,Haplic Yermosols,RGc,Regosol,
127,Yk,Calcic Yermosols,CLh,Calcisol,
128,Yl,Luvic Yermosols,LVh,Luvisol,
129,Yt,Takyric Yermosols,CMe,Cambisol,"x  Volgens FAO, volgende aaname gebruiken voor Yt: 50% CM, 25% LV en 25% CL"
130,Yy,Gypsic Yermosols,GY,Gypsisol,
131,Z,Solonchaks,SC,Solonchak,
132,Zg,Gleyic Solonchaks,SCg,Solonchak,
133,Zm,Mollic Solonchaks,SCm,Solonchak,
134,Zo,Orthic Solonchaks,SCh,Solonchak,
135,Zt,Takyric Solonchaks,SCh,Solonchak,
