FileName,SERIES_NAME,VARIABLE_NAME,ATTRIBUTE_TITLE,KEYWORD1,KEYWORD2,ATTRIBUTE_LABEL,CONFIDENCE_INTERVAL,DEPTH,HORIZON_UPPER_DEPTH,HORIZON_LOWER_DEPTH,RANGE_DOMAIN_MINIMUM,RANGE_DOMAIN_MAXIMUM,ATTRIBUTE_MEASUREMENT_RESOLUTION,ATTRIBUTE_UNITS_OF_MEASURE,CITATION_URL,CITATION_ORIGINATOR,CITATION_ADDRESS,PUBLICATION_DATE,DOWNLOAD_FTP_URL,TECHNICAL_SPECIFICATIONS_URL,PROJECT_URL,LEGEND,SLD_URL,SLD_NAME,NO_DATA,DATA_FORMAT
CECSOL_M_sl1_250m_ll.tif,SoilGrids250m,Cation exchange capacity of soil in cmolc/kg,Cation exchange capacity of soil in cmolc/kg at depth 0.00 m,cation,capacity,CECSOL_M_sl1,M,0.00 m,0.00 m,0.00 m,0,2200,1,cmol / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl1_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CECSOL.sld,soilgrids250m:CECSOL,-32768,Int16
CECSOL_M_sl2_250m_ll.tif,SoilGrids250m,Cation exchange capacity of soil in cmolc/kg,Cation exchange capacity of soil in cmolc/kg at depth 0.05 m,cation,capacity,CECSOL_M_sl2,M,0.05 m,0.05 m,0.05 m,0,2200,1,cmol / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl2_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CECSOL.sld,soilgrids250m:CECSOL,-32768,Int16
CECSOL_M_sl3_250m_ll.tif,SoilGrids250m,Cation exchange capacity of soil in cmolc/kg,Cation exchange capacity of soil in cmolc/kg at depth 0.15 m,cation,capacity,CECSOL_M_sl3,M,0.15 m,0.15 m,0.15 m,0,2200,1,cmol / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl3_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CECSOL.sld,soilgrids250m:CECSOL,-32768,Int16
CECSOL_M_sl4_250m_ll.tif,SoilGrids250m,Cation exchange capacity of soil in cmolc/kg,Cation exchange capacity of soil in cmolc/kg at depth 0.30 m,cation,capacity,CECSOL_M_sl4,M,0.30 m,0.30 m,0.30 m,0,2200,1,cmol / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl4_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CECSOL.sld,soilgrids250m:CECSOL,-32768,Int16
CECSOL_M_sl5_250m_ll.tif,SoilGrids250m,Cation exchange capacity of soil in cmolc/kg,Cation exchange capacity of soil in cmolc/kg at depth 0.60 m,cation,capacity,CECSOL_M_sl5,M,0.60 m,0.60 m,0.60 m,0,2200,1,cmol / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl5_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CECSOL.sld,soilgrids250m:CECSOL,-32768,Int16
CECSOL_M_sl6_250m_ll.tif,SoilGrids250m,Cation exchange capacity of soil in cmolc/kg,Cation exchange capacity of soil in cmolc/kg at depth 1.00 m,cation,capacity,CECSOL_M_sl6,M,1.00 m,1.00 m,1.00 m,0,2200,1,cmol / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl6_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CECSOL.sld,soilgrids250m:CECSOL,-32768,Int16
CECSOL_M_sl7_250m_ll.tif,SoilGrids250m,Cation exchange capacity of soil in cmolc/kg,Cation exchange capacity of soil in cmolc/kg at depth 2.00 m,cation,capacity,CECSOL_M_sl7,M,2.00 m,2.00 m,2.00 m,0,2200,1,cmol / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CECSOL_M_sl7_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CECSOL.sld,soilgrids250m:CECSOL,-32768,Int16
CLYPPT_M_sl1_250m_ll.tif,SoilGrids250m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.00 m,clay,texture,CLYPPT_M_sl1,M,0.00 m,0.00 m,0.00 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl1_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CLYPPT.sld,soilgrids250m:CLYPPT,255,Byte
CLYPPT_M_sl2_250m_ll.tif,SoilGrids250m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.05 m,clay,texture,CLYPPT_M_sl2,M,0.05 m,0.05 m,0.05 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl2_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CLYPPT.sld,soilgrids250m:CLYPPT,255,Byte
CLYPPT_M_sl3_250m_ll.tif,SoilGrids250m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.15 m,clay,texture,CLYPPT_M_sl3,M,0.15 m,0.15 m,0.15 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl3_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CLYPPT.sld,soilgrids250m:CLYPPT,255,Byte
CLYPPT_M_sl4_250m_ll.tif,SoilGrids250m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.30 m,clay,texture,CLYPPT_M_sl4,M,0.30 m,0.30 m,0.30 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl4_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CLYPPT.sld,soilgrids250m:CLYPPT,255,Byte
CLYPPT_M_sl5_250m_ll.tif,SoilGrids250m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 0.60 m,clay,texture,CLYPPT_M_sl5,M,0.60 m,0.60 m,0.60 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl5_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CLYPPT.sld,soilgrids250m:CLYPPT,255,Byte
CLYPPT_M_sl6_250m_ll.tif,SoilGrids250m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 1.00 m,clay,texture,CLYPPT_M_sl6,M,1.00 m,1.00 m,1.00 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl6_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CLYPPT.sld,soilgrids250m:CLYPPT,255,Byte
CLYPPT_M_sl7_250m_ll.tif,SoilGrids250m,Clay content (0-2 micro meter) mass fraction in %,Clay content (0-2 micro meter) mass fraction in % at depth 2.00 m,clay,texture,CLYPPT_M_sl7,M,2.00 m,2.00 m,2.00 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl7_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CLYPPT.sld,soilgrids250m:CLYPPT,255,Byte
CRFVOL_M_sl1_250m_ll.tif,SoilGrids250m,Coarse fragments volumetric in %,Coarse fragments volumetric in % at depth 0.00 m,coarse,texture,CRFVOL_M_sl1,M,0.00 m,0.00 m,0.00 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl1_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CRFVOL.sld,soilgrids250m:CRFVOL,255,Byte
CRFVOL_M_sl2_250m_ll.tif,SoilGrids250m,Coarse fragments volumetric in %,Coarse fragments volumetric in % at depth 0.05 m,coarse,texture,CRFVOL_M_sl2,M,0.05 m,0.05 m,0.05 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl2_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CRFVOL.sld,soilgrids250m:CRFVOL,255,Byte
CRFVOL_M_sl3_250m_ll.tif,SoilGrids250m,Coarse fragments volumetric in %,Coarse fragments volumetric in % at depth 0.15 m,coarse,texture,CRFVOL_M_sl3,M,0.15 m,0.15 m,0.15 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl3_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CRFVOL.sld,soilgrids250m:CRFVOL,255,Byte
CRFVOL_M_sl4_250m_ll.tif,SoilGrids250m,Coarse fragments volumetric in %,Coarse fragments volumetric in % at depth 0.30 m,coarse,texture,CRFVOL_M_sl4,M,0.30 m,0.30 m,0.30 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl4_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CRFVOL.sld,soilgrids250m:CRFVOL,255,Byte
CRFVOL_M_sl5_250m_ll.tif,SoilGrids250m,Coarse fragments volumetric in %,Coarse fragments volumetric in % at depth 0.60 m,coarse,texture,CRFVOL_M_sl5,M,0.60 m,0.60 m,0.60 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl5_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CRFVOL.sld,soilgrids250m:CRFVOL,255,Byte
CRFVOL_M_sl6_250m_ll.tif,SoilGrids250m,Coarse fragments volumetric in %,Coarse fragments volumetric in % at depth 1.00 m,coarse,texture,CRFVOL_M_sl6,M,1.00 m,1.00 m,1.00 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl6_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CRFVOL.sld,soilgrids250m:CRFVOL,255,Byte
CRFVOL_M_sl7_250m_ll.tif,SoilGrids250m,Coarse fragments volumetric in %,Coarse fragments volumetric in % at depth 2.00 m,coarse,texture,CRFVOL_M_sl7,M,2.00 m,2.00 m,2.00 m,0,100,1,percent,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl7_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/CRFVOL.sld,soilgrids250m:CRFVOL,255,Byte
OCSTHA_M_sd1_250m_ll.tif,SoilGrids250m,Soil organic carbon stock in tonnes per ha,Soil organic carbon stock in tonnes per ha for depth interval 0.00 m - 0.05 m,stock,carbon,OCSTHA_M_sd1,M,0.025 m,0.00 m,0.05 m,0,3500,1,tonnes / ha,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd1_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/OCSTHA.sld,soilgrids250m:OCSTHA,-32768,Int16
OCSTHA_M_sd2_250m_ll.tif,SoilGrids250m,Soil organic carbon stock in tonnes per ha,Soil organic carbon stock in tonnes per ha for depth interval 0.05 m - 0.15 m,stock,carbon,OCSTHA_M_sd2,M,0.125 m,0.05 m,0.15 m,0,3500,1,tonnes / ha,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd2_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/OCSTHA.sld,soilgrids250m:OCSTHA,-32768,Int16
OCSTHA_M_sd3_250m_ll.tif,SoilGrids250m,Soil organic carbon stock in tonnes per ha,Soil organic carbon stock in tonnes per ha for depth interval 0.15 m - 0.30 m,stock,carbon,OCSTHA_M_sd3,M,0.225 m,0.15 m,0.30 m,0,3500,1,tonnes / ha,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd3_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/OCSTHA.sld,soilgrids250m:OCSTHA,-32768,Int16
OCSTHA_M_sd4_250m_ll.tif,SoilGrids250m,Soil organic carbon stock in tonnes per ha,Soil organic carbon stock in tonnes per ha for depth interval 0.30 m - 0.60 m,stock,carbon,OCSTHA_M_sd4,M,0.45 m,0.30 m,0.60 m,0,3500,1,tonnes / ha,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd4_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/OCSTHA.sld,soilgrids250m:OCSTHA,-32768,Int16
OCSTHA_M_sd5_250m_ll.tif,SoilGrids250m,Soil organic carbon stock in tonnes per ha,Soil organic carbon stock in tonnes per ha for depth interval 0.60 m - 1.00 m,stock,carbon,OCSTHA_M_sd5,M,0.80 m,0.60 m,1.00 m,0,3500,1,tonnes / ha,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd5_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/OCSTHA.sld,soilgrids250m:OCSTHA,-32768,Int16
OCSTHA_M_sd6_250m_ll.tif,SoilGrids250m,Soil organic carbon stock in tonnes per ha,Soil organic carbon stock in tonnes per ha for depth interval 1.00 m - 2.00 m,stock,carbon,OCSTHA_M_sd6,M,1.50 m,1.00 m,2.00 m,0,3500,1,tonnes / ha,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd6_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/OCSTHA.sld,soilgrids250m:OCSTHA,-32768,Int16
ORCDRC_M_sl1_250m_ll.tif,SoilGrids250m,Soil organic carbon content (fine earth fraction) in g per kg,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.00 m,organic,carbon,ORCDRC_M_sl1,M,0.00 m,0.00 m,0.00 m,0,800,1,g / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl1_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/ORCDRC.sld,soilgrids250m:ORCDRC,-32768,Int16
ORCDRC_M_sl2_250m_ll.tif,SoilGrids250m,Soil organic carbon content (fine earth fraction) in g per kg,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.05 m,organic,carbon,ORCDRC_M_sl2,M,0.05 m,0.05 m,0.05 m,0,800,1,g / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl2_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/ORCDRC.sld,soilgrids250m:ORCDRC,-32768,Int16
ORCDRC_M_sl3_250m_ll.tif,SoilGrids250m,Soil organic carbon content (fine earth fraction) in g per kg,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.15 m,organic,carbon,ORCDRC_M_sl3,M,0.15 m,0.15 m,0.15 m,0,800,1,g / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl3_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/ORCDRC.sld,soilgrids250m:ORCDRC,-32768,Int16
ORCDRC_M_sl4_250m_ll.tif,SoilGrids250m,Soil organic carbon content (fine earth fraction) in g per kg,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.30 m,organic,carbon,ORCDRC_M_sl4,M,0.30 m,0.30 m,0.30 m,0,800,1,g / kg,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,2016-05-12,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl4_250m_ll.tif,https://github.com/ISRICWorldSoil/SoilGrids250m,http://soilgrids.org,,ftp://ftp.soilgrids.org/legends/ORCDRC.sld,soilgrids250m:ORCDRC,-32768,Int16
